Abbreviation,Number,Title,Hours,Attributes,Pre-Requisites/PotentialSequences,Co-Requisites,LcTime,LcDate,LcLocation,LaTime,LaDate,LaLocation
MATH,131,Calculus 1A Infused with Precalculus,3,none,none,none,0800-0850,MWF,HSS,none,none,none
MATH,131,Calculus 1A Infused with Precalculus,3,none,none,none,1610-1700,MWF,HSS,none,none,none
MATH,131,Calculus 1A Infused with Precalculus,3,none,none,none,1500-1550,MWF,HSS,none,none,none
MATH,131,Calculus 1A Infused with Precalculus,3,none,none,none,1350-1440,MWF,HPR,none,none,none
MATH,131,Calculus 1A Infused with Precalculus,3,none,none,none,1350-1440,MWF,HSS,none,none,none
MATH,131,Calculus 1A Infused with Precalculus,3,none,none,none,1240-1330,MWF,HSS,none,none,none
MATH,131,Calculus 1A Infused with Precalculus,3,none,none,none,1130-1220,MWF,HSS,none,none,none
MATH,131,Calculus 1A Infused with Precalculus,3,none,none,none,1020-1110,MWF,HSS,none,none,none
MATH,131,Calculus 1A Infused with Precalculus,3,none,none,none,0910-1000,MWF,HSS,none,none,none
MATH,132,Calculus 1B Infused with Precalculus,3,QR,MATH 131,none,1500-1550,MWF,HBB,none,none,none
MATH,132,Calculus 1B Infused with Precalculus,3,QR,MATH 131,none,1240-1330,MWF,HPR,none,none,none
MATH,132,Calculus 1B Infused with Precalculus,3,QR,MATH 131,none,1130-1220,MWF,HBB,none,none,none
MATH,141,Calculus I,4,QR,MATH 130,none,0800-0850,MWF,HSS,0810-0925,R,HSS
MATH,141,Calculus I,4,QR,MATH 130,none,1500-1550,MWF,HSS,1605-1720,R,HSS
MATH,141,Calculus I,4,QR,MATH 130,none,1350-1420,MWF,HSS,1430-1545,R,HSS
MATH,141,Calculus I,4,QR,MATH 130,none,1350-1440,MWF,HSS,1430-1545,R,HSS
MATH,141,Calculus I,4,QR,MATH 130,none,1240-1330,MWF,MKB,1255-1410,R,HSS
MATH,141,Calculus I,4,QR,MATH 130,none,1240-1330,MWF,HSS,1255-1410,R,HSS
MATH,141,Calculus I,4,QR,MATH 130,none,1130-1220,MWF,TIC,1120-1235,R,HSS
MATH,141,Calculus I,4,QR,MATH 130,none,1130-1220,MWF,HSS,1120-1235,R,HSS
MATH,141,Calculus I,4,QR,MATH 130,none,1020-1110,MWF,HSS,1120-1235,R,BAS
MATH,141,Calculus I,4,QR,MATH 130,none,1020-1110,MWF,HSS,1120-1235,R,AYR
MATH,141,Calculus I,4,QR,MATH 130,none,0910-1000,MWF,HSS,0810-0925,R,HSS
MATH,141,Calculus I,4,QR,MATH 130,none,0800-0850,MWF,PER,0810-0925,R,PER
MATH,141,Calculus I,4,QR,MATH 130,none,1610-1700,MWF,PER,1605-1720,R,HSS
MATH,141,Calculus I,4,QR,MATH 130,none,1500-1550,MWF,PER,1430-1545,R,PER
MATH,141,Calculus I,4,QR,MATH 130,none,1350-1440,MWF,PER,1255-1410,R,PER
MATH,141,Calculus I,4,QR,MATH 130,none,1020-1110,MWF,PER,1255-1410,R,TIC
MATH,141,Calculus I,4,QR,MATH 130,none,1240-1330,MWF,AYR,1255-1410,R,AYR
MATH,141,Calculus I,4,QR,MATH 130,none,1130-1220,MWF,AYR,1120-1235,R,PER
MATH,147,Honors: Calculus I,4,QR,MATH 130,none,1240-1330,MWF,ZEC,0810-0925,R,ZEC
MATH,142,Calculus II,4,QR,MATH 141,none,0910-1000,MWF,PER,0810-0925,T,NEB
MATH,142,Calculus II,4,QR,MATH 141,none,0910-1000,MWF,JHB,0810-0925,T,PER
MATH,142,Calculus II,4,QR,MATH 141,none,0910-1000,MWF,PER,0810-0925,T,HSS
MATH,142,Calculus II,4,QR,MATH 141,none,1500-1550,MWF,PER,1605-1720,T,PER
MATH,142,Calculus II,4,QR,MATH 141,none,1500-1550,MWF,PHY,1605-1720,T,HSS
MATH,142,Calculus II,4,QR,MATH 141,none,1130-1220,MWF,MKB,1120-1235,T,PER
MATH,142,Calculus II,4,QR,MATH 141,none,1500-1550,MWF,HSS,1605-1720,T,HSS
MATH,142,Calculus II,4,QR,MATH 141,none,1350-1440,MWF,PER,1430-1545,T,MOS
MATH,142,Calculus II,4,QR,MATH 141,none,1350-1440,MWF,BEO,1430-1545,T,BAS
